"","created_at","date","name","username","link","tweet","replies_count","retweets_count","likes_count","photos"
"106",2022-04-25 19:00:01,2022-04-25,"NFTxROADS - The NFT event in Spain","nftxroad","https://twitter.com/NFTxROAD/status/1518635954814308352","💥 @ggcasimiro_ has arrived to Valencia💥  She's super excited to talk about the Metaverse Fashion Week!  Join us and don't miss the chance to meet the @decentraland team and enjoy a paella at the same time!  🎟 TICKETS --&gt;  https://t.co/jS7prAYDlh  #NFTs #Metaverse #NFTCommunity  https://t.co/E8d3KYk1am",11,23,69,"[]"
"107",2022-03-27 18:08:45,2022-03-27,"Anti Secret Society","antisecretsoci2","https://twitter.com/Antisecretsoci2/status/1508113804974084103","Between event and event of the #MVFW I have gone to my gallery to fix my music device. Friends of RAVE MUSIC! @FabeeoBreen x @makelismosbrand  #decentraland #metaverse #nfts #wearables  https://t.co/2GGaFaq0pL",1,1,9,"['https://pbs.twimg.com/media/FO3lYFwWQAEuKVu.jpg']"
"108",2022-03-17 16:16:41,2022-03-17,"ARTISANT Starsign on the website","artisantnft","https://twitter.com/artisantnft/status/1504476824755060744","We are happy to announce that @reginaturbina will take part in @decentraland Metaverse Fashion Week with Wedding: Upcycled collection powered by @PUMA and @artisantnft.   This epic drop coming to @rarible soon! #MVFW  https://t.co/1FxaBCYNR2",21,21,115,"['https://pbs.twimg.com/media/FOD5sUTVEAMcCOa.jpg']"
"109",2022-03-26 23:21:12,2022-03-26,"MetaModelAgency","metamodelagency","https://twitter.com/MetaModelAgency/status/1507845150608928768","@DCLBabyDolls walking at the @MetaPartyDCL venue (2,16) sponsered by @ParcelNFT  #MVFW 🔥🕺  https://t.co/UA4EIUvHC0",0,0,0,"['https://pbs.twimg.com/media/FOzwFcqXsAQyTDW.jpg']"
"110",2022-04-07 21:33:22,2022-04-07,"paraibanft","paraibanft","https://twitter.com/paraibanft/status/1512151565964042253","@arcade_nfts this is the top dragon model of metaverse fashion week.",0,0,0,"[]"
"111",2022-03-22 18:38:33,2022-03-22,"NFT Marketing Partners","partnersnft","https://twitter.com/PartnersNFT/status/1506324464224522242","What to Know About Decentraland's Metaverse Fashion Week - WWD  https://t.co/4CUZzMX7oA",0,0,0,"[]"
"112",2022-03-22 19:37:21,2022-03-22,"Tangpoko","tangpoko","https://twitter.com/tangpoko/status/1506339263171883010","YES! Finally some REAL information about #MVFW .. and what's this? An events schedule? #Decentraland @DCLBabyDolls   https://t.co/FeVZEHqX5J  https://t.co/tUOTLnzh3I",2,4,13,"['https://pbs.twimg.com/media/FOeXLPFVQAESPfB.png', 'https://pbs.twimg.com/media/FOeXOv8VQAECrCH.png']"
"113",2022-03-22 03:45:08,2022-03-22,"ManaDaiquiri","manadaiquiridcl","https://twitter.com/ManaDaiquiriDCL/status/1506099632266428420","What a way to start the Week with @MoMamiMusic!!  Thanks to the @DCLBabyDolls for the event🥰  #MVFW  #InternationalWomensMonth  https://t.co/akFkDRm1Fj",2,5,19,"['https://pbs.twimg.com/media/FOa3eYlXEAMzfTJ.jpg', 'https://pbs.twimg.com/media/FOa3f_cWQAIs8-c.jpg', 'https://pbs.twimg.com/media/FOa9SvYXoAUygox.jpg']"
"114",2022-03-26 22:27:03,2022-03-26,"MetaModelAgency","metamodelagency","https://twitter.com/MetaModelAgency/status/1507831521339752452","BREAKING: @DJTRAXNFT The first DJ to play Cha Cha Slide in the Metaverse.  #MVFW  https://t.co/C2x6Z2yuFK",0,0,1,"['https://pbs.twimg.com/media/FOzkcoaWQAI4zuL.jpg']"
"115",2022-03-26 18:28:06,2022-03-26,"Parcel","parcelnft","https://twitter.com/ParcelNFT/status/1507771389037715456","Day 3 of @decentraland #MVFW (already?!?). Join us at the Community Precinct (2,16) @ 8pm (UTC)/4pm (EST) to celebrate the winners of the Wearables Contest strut down the catwalk! Still got questions? Ping our discord for rapid fire replies 🔥",0,4,16,"[]"
"116",2022-03-27 20:44:24,2022-03-27,"Anti Secret Society","antisecretsoci2","https://twitter.com/Antisecretsoci2/status/1508152975428042754","The legendary @philipp_plein at @decentraland 💥 in collaboration with @PortionApp 👏 @KASEENO @vaciceva  4th day of #MVFW  https://t.co/lXWE6lrGZ2",0,2,9,"['https://pbs.twimg.com/media/FO4I_mAWUBAyDzH.jpg', 'https://pbs.twimg.com/media/FO4I_mAXoAMv91T.jpg']"
"117",2022-03-27 13:23:16,2022-03-27,"Across the Metaverse","acrossmetaverse","https://twitter.com/AcrossMetaverse/status/1508041963496423425","Fashion week, not in Paris, not in London, in @decentraland  #Metaverse   #MetaverseFashionWeek #MetaverseNews",0,0,3,"[]"
"118",2022-03-09 13:03:46,2022-03-09,"Cattos Applying Tyranny😼","cattos_nft","https://twitter.com/Cattos_NFT/status/1501529173596438528","Dress like you’re already famous ✨  Make me famous! Meow~ #FashionWeek   👉Join the Catto Fam:  https://t.co/zUudPsuPu1   #Metaverse #NFTProject #NFTCommmunity #Polygon #PolygonNFT #NFTCommunity #NFTGiveaway #AnimeNFT #NFT #SneakPeak #GameFi #NFTcollections  https://t.co/rDP3vG21Hf",1,0,9,"['https://pbs.twimg.com/media/FNaA0l4acAM-W_d.jpg']"
"119",2022-03-22 14:27:50,2022-03-22,"The Crypto Times","cryptotimes_io","https://twitter.com/CryptoTimes_io/status/1506261370870054918",".@TommyHilfiger is coming with its spring 2022 collection linked with #NFTs in the #Metaverse Fashion Week on @decentraland with its virtual store.  #TommyHilfiger #Decentraland #NFTcommunity    https://t.co/uDrlwX3lkv",1,0,2,"[]"
"120",2022-03-22 11:28:09,2022-03-22,"8SIAN","8siannft","https://twitter.com/8sianNFT/status/1506216153441783808","Join @8sianmom in 30mins on this Twitter Space with @Deadfellaz @dressxcom @therebelsnft for a conversation about the upcoming Metaverse Fashion Week by @BosonProtocol   #8SIAN #8SIAN1ETH    https://t.co/iFiKZNt6cl  https://t.co/BmNLFq2Jtq",4,21,68,"['https://pbs.twimg.com/media/FOcnmu2aIAAIdC5.jpg']"
"121",2022-04-21 16:25:28,2022-04-21,"Metaverse Insider","metav_insider","https://twitter.com/Metav_Insider/status/1517147508907995136","Dr. Giovanna Graziosi Casimiro  was the head of the @decentraland fashion week 🚀  🔺She is an expert in digital production  🔺And the community/events producer at Decentraland  🔺We interviewed Giovanna at the @NFCsummit 👇   https://t.co/cYD46eKjJw  #Metaverse #Web3 #Blockchain",0,0,0,"[]"
"122",2022-02-26 10:41:29,2022-02-26,"Get 2 Know Crypto","get2knocrypto","https://twitter.com/Get2KnoCrypto/status/1497507097948393475","Decentraland to Host Metaverse Fashion Week With Tommy Hilfiger, Dolce &amp;#038; Gabbana, Selfridges   - Latest #Crypto News from #G2KC - Follow for News and Giveaways!  https://t.co/0Typ1UleHs",1,0,0,"[]"
"123",2022-03-23 00:35:01,2022-03-23,"DAFO.club","metadafo","https://twitter.com/metaDAFO/status/1506414172380307463","Ready! #MVFW",0,0,0,"[]"
"124",2022-04-10 07:15:31,2022-04-10,"Crypto Trader Pro 🇺🇸","cryptotraderpro","https://twitter.com/CryptoTraderPro/status/1513022846913560577","Crypto Panic: The first-ever Metaverse Fashion Week: Digital fashion is here to stay  https://t.co/QTPT9wfMqZ 🙋 Bet with $BTC via ⟶  https://t.co/4h0cyuWSHk √",0,0,1,"[]"
"125",2022-03-06 01:00:36,2022-03-06,"Survive | P2E","survive_p2e","https://twitter.com/Survive_P2E/status/1500260016707850242","This week in the metaverse: VR fashion, Walking Dead NFTs &amp; American Eagle's Roblox party... 🤑   https://t.co/0lYUJ1qYxO",10,31,49,"[]"
"126",2022-03-26 19:33:14,2022-03-26,"@RedSageCrypto","redsagecrypto","https://twitter.com/redsagecrypto/status/1507787778205102082","Decentraland fashion week - Day 3 - Fresh Couture:   #Decentraland #NFT #NFTs #wearables #Metaverse    https://t.co/8qc5WCGDu7",1,0,2,"[]"
"127",2022-04-11 16:00:02,2022-04-11,"METAclaims","metaclaims","https://twitter.com/metaclaims/status/1513517230092283907","NFT Emotes are Coming to Decentraland—Get the First Ones at MVFW!  https://t.co/ZEDHgODSQy via @TodayNFT #articleshare #NFTCommunity",0,0,0,"[]"
