"","participant_code","item_tweet","rating","item","tweet","source"
"283","pj85w95c","affective2",3,"affective","2","brands"
"284","dmnv9fjr","affective2",NA,"affective","2","brands"
"285","gfs8j7lu","affective2",5,"affective","2","brands"
"286","fzyb8kza","affective2",NA,"affective","2","brands"
"287","18qwzl86","affective2",2,"affective","2","brands"
"288","wdx8mupu","affective2",NA,"affective","2","brands"
"289","gx4pzebq","affective2",3,"affective","2","brands"
"290","25quzehx","affective2",NA,"affective","2","brands"
"291","a8v3uhii","affective2",4,"affective","2","brands"
"292","p1nr4tt8","affective2",NA,"affective","2","brands"
"293","ih5pqp0z","affective2",6,"affective","2","brands"
"294","xwxx0fn3","affective2",NA,"affective","2","brands"
"295","ic4567h6","affective2",2,"affective","2","brands"
"296","60vs07wz","affective2",NA,"affective","2","brands"
"297","p5bppvqi","affective2",3,"affective","2","brands"
"298","g9w7l4zn","affective2",NA,"affective","2","brands"
"299","yahqo8w0","affective2",3,"affective","2","brands"
"300","tzsxb714","affective2",1,"affective","2","brands"
"301","rpq48z9e","affective2",NA,"affective","2","brands"
"302","1v5mg1sr","affective2",1,"affective","2","brands"
"303","opqmjbad","affective2",NA,"affective","2","brands"
"304","wtkedqqa","affective2",1,"affective","2","brands"
"305","770umb2c","affective2",NA,"affective","2","brands"
"306","o1cmcxd1","affective2",2,"affective","2","brands"
"307","ynhuka30","affective2",NA,"affective","2","brands"
"308","m92qu76p","affective2",4,"affective","2","brands"
"309","nfxr8nzu","affective2",NA,"affective","2","brands"
"310","5v5t2bfz","affective2",4,"affective","2","brands"
"311","qvechdho","affective2",NA,"affective","2","brands"
"312","lq7uarth","affective2",2,"affective","2","brands"
"313","vfte9rhd","affective2",NA,"affective","2","brands"
"314","yz0o7s93","affective2",3,"affective","2","brands"
"315","jx1hoqs5","affective3",4,"affective","3","brands"
"316","6yf74bre","affective3",NA,"affective","3","brands"
"317","ogdohkf8","affective3",4,"affective","3","brands"
"318","9was9jwj","affective3",NA,"affective","3","brands"
"319","g0v9p7we","affective3",3,"affective","3","brands"
"320","27uhtyxu","affective3",NA,"affective","3","brands"
"321","a89bdfnw","affective3",6,"affective","3","brands"
"322","gcap2hq5","affective3",1,"affective","3","brands"
"323","62sgf1q6","affective3",3,"affective","3","brands"
"324","agnsjv3u","affective3",NA,"affective","3","brands"
"325","z61pj3qh","affective3",NA,"affective","3","brands"
"326","i9lsmrra","affective3",4,"affective","3","brands"
"327","eh8427qe","affective3",NA,"affective","3","brands"
"328","hf2jc55w","affective3",5,"affective","3","brands"
"329","i6owifbh","affective3",NA,"affective","3","brands"
"330","8039ho03","affective3",3,"affective","3","brands"
"331","p8y66am4","affective3",NA,"affective","3","brands"
"332","fpejknpw","affective3",3,"affective","3","brands"
"333","crf9ios0","affective3",NA,"affective","3","brands"
"334","lrkhjbvs","affective3",3,"affective","3","brands"
"335","j80ligbl","affective3",NA,"affective","3","brands"
"336","yho59dh1","affective3",4,"affective","3","brands"
"337","n7ewy2cs","affective3",NA,"affective","3","brands"
"338","r02olzq0","affective3",3,"affective","3","brands"
"339","qq5poky6","affective3",NA,"affective","3","brands"
"340","ufnwpmau","affective3",1,"affective","3","brands"
"341","jr301tge","affective3",NA,"affective","3","brands"
"342","6vr1fp3w","affective3",3,"affective","3","brands"
"343","9i4oj2r2","affective3",NA,"affective","3","brands"
"344","1bkh0km2","affective3",3,"affective","3","brands"
"345","h663junz","affective3",1,"affective","3","brands"
"346","gem9aoqj","affective3",NA,"affective","3","brands"
"347","1zvtzuqk","affective3",4,"affective","3","brands"
"348","evx0zc3a","affective3",NA,"affective","3","brands"
"349","me2ii5mz","affective3",3,"affective","3","brands"
"350","qva57gbb","affective3",NA,"affective","3","brands"
"351","toaoocz2","affective3",1,"affective","3","brands"
"352","nv1uy98b","affective3",1,"affective","3","brands"
"353","9h4ceqz2","affective3",NA,"affective","3","brands"
"354","n0wp5zd8","affective3",3,"affective","3","brands"
"355","x8ux5i6y","affective3",NA,"affective","3","brands"
"356","qoyax9r0","affective3",4,"affective","3","brands"
"357","xm509tw1","affective3",NA,"affective","3","brands"
"358","gqmkeow0","affective3",1,"affective","3","brands"
"359","6muoe37h","affective3",NA,"affective","3","brands"
"360","t2edihr0","affective3",1,"affective","3","brands"
"361","yz2beulm","affective3",NA,"affective","3","brands"
"362","fvemlgiw","affective3",3,"affective","3","brands"
"363","nl6xjpo7","affective3",NA,"affective","3","brands"
"364","fcsbtn6k","affective3",2,"affective","3","brands"
"365","curnl29o","affective3",7,"affective","3","brands"
"366","1tozm66a","affective3",NA,"affective","3","brands"
"367","iv519w8r","affective3",2,"affective","3","brands"
"368","acsdwiqr","affective3",NA,"affective","3","brands"
"369","4js2miwp","affective3",5,"affective","3","brands"
"370","jpfuvqgw","affective3",NA,"affective","3","brands"
"371","g1uvm9wv","affective3",3,"affective","3","brands"
"372","712u1e71","affective3",NA,"affective","3","brands"
"373","57q12bc7","affective3",2,"affective","3","brands"
"374","q5gaxvft","affective3",NA,"affective","3","brands"
"375","lcl3ehap","affective3",4,"affective","3","brands"
"376","l0vd19fj","affective3",NA,"affective","3","brands"
"377","pwkrzn40","affective3",1,"affective","3","brands"
"378","govzzomw","affective3",NA,"affective","3","brands"
"379","agykousy","affective3",4,"affective","3","brands"
"380","ngsqw49j","affective3",NA,"affective","3","brands"
"381","f8umy53m","affective3",4,"affective","3","brands"
"382","uzza49m6","affective3",NA,"affective","3","brands"
"383","8vcghghp","affective3",3,"affective","3","brands"
"384","f6y08krf","affective3",NA,"affective","3","brands"
"385","by4yanjb","affective3",5,"affective","3","brands"
"386","5vxkjued","affective3",NA,"affective","3","brands"
"387","pt1k2gya","affective3",3,"affective","3","brands"
"388","ba1ix5rs","affective3",5,"affective","3","brands"
"389","vgqiwli0","affective3",NA,"affective","3","brands"
"390","8ycp4uiv","affective3",1,"affective","3","brands"
"391","yoksfz80","affective3",NA,"affective","3","brands"
"392","mygg7jsf","affective3",1,"affective","3","brands"
"393","6135dpe8","affective3",NA,"affective","3","brands"
"394","c36345sy","affective3",1,"affective","3","brands"
"395","8u8yvyyo","affective3",NA,"affective","3","brands"
"396","e8rdjk5m","affective3",NA,"affective","3","brands"
"397","0srondmg","affective3",2,"affective","3","brands"
"398","og34gxwy","affective3",NA,"affective","3","brands"
"399","xp91wpet","affective3",3,"affective","3","brands"
"400","5rg41nue","affective3",NA,"affective","3","brands"
"401","jnkijng0","affective3",3,"affective","3","brands"
"402","he5c8uyo","affective3",NA,"affective","3","brands"
"403","rlo2oc87","affective3",6,"affective","3","brands"
"404","jcsufc2z","affective3",1,"affective","3","brands"
"405","mj3b11nc","affective3",NA,"affective","3","brands"
"406","cxt8ofo7","affective3",1,"affective","3","brands"
"407","0au9q0bv","affective3",NA,"affective","3","brands"
"408","bca7n5xk","affective3",3,"affective","3","brands"
"409","wjuluvfd","affective3",NA,"affective","3","brands"
"410","jg9stgrs","affective3",2,"affective","3","brands"
"411","xge3gw5y","affective3",NA,"affective","3","brands"
"412","ucwf1wvy","affective3",5,"affective","3","brands"
"413","5iozpviz","affective3",NA,"affective","3","brands"
"414","l0mtaawo","affective3",1,"affective","3","brands"
"415","0oewz2ea","affective3",NA,"affective","3","brands"
"416","kelsiw74","affective3",3,"affective","3","brands"
"417","2jb5hi60","affective3",NA,"affective","3","brands"
"418","gdu9lj7r","affective3",1,"affective","3","brands"
"419","uegydg7g","affective3",NA,"affective","3","brands"
"420","y3cyrwe1","affective3",4,"affective","3","brands"
"421","e8zwvzcw","affective3",NA,"affective","3","brands"
"422","a9lw8t9i","affective3",1,"affective","3","brands"
"423","nt90o9ux","affective3",NA,"affective","3","brands"
"424","pllysyhy","affective3",1,"affective","3","brands"
"425","4w4whaox","affective3",NA,"affective","3","brands"
"426","6ca3hvyu","affective3",2,"affective","3","brands"
"427","0w4ojw4o","affective3",NA,"affective","3","brands"
"428","9t5zoj2q","affective3",5,"affective","3","brands"
"429","yfaeo1to","affective3",NA,"affective","3","brands"
"430","p8e7vat8","affective3",4,"affective","3","brands"
"431","m6l8ynog","affective3",NA,"affective","3","brands"
"432","sp3z7jov","affective3",5,"affective","3","brands"
"433","2qm0d32j","affective3",NA,"affective","3","brands"
"434","p6kabpcv","affective3",4,"affective","3","brands"
"435","q8nk50gy","affective3",NA,"affective","3","brands"
"436","696w6ha8","affective3",2,"affective","3","brands"
"437","w4bv9bmk","affective3",NA,"affective","3","brands"
"438","wtbrvnca","affective3",1,"affective","3","brands"
"439","acje7hag","affective3",NA,"affective","3","brands"
"440","pj85w95c","affective3",3,"affective","3","brands"
"441","dmnv9fjr","affective3",NA,"affective","3","brands"
